epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7087,1.84914,2.59611,2.02766,0.00935,0.10573,0.0031,0.0007,3.96486,inf,25.3362,0.0704762,0.00328042,0.00328042
2,164.765,2.01068,2.55528,2.20936,0.00255,0.42194,0.00187,0.00052,3.3647,inf,12.0468,0.0404107,0.00654828,0.00654828
3,235.045,1.98299,2.58181,2.23598,0.004,0.15613,0.00372,0.00062,3.74028,inf,6.26281,0.0102792,0.00975014,0.00975014
4,305.607,1.93117,2.46297,2.18144,0.04055,0.1334,0.01708,0.00469,3.1332,16.4124,4.78928,0.009703,0.009703,0.009703
5,375.814,1.85494,2.36195,2.10836,0.08288,0.16008,0.04464,0.01229,2.62412,6.33716,3.3408,0.009604,0.009604,0.009604
6,445.868,1.80798,2.27286,2.05084,0.07312,0.16403,0.0354,0.01257,2.76726,4.66653,3.55518,0.009505,0.009505,0.009505
7,512.479,1.753,2.20153,2.00247,0.34583,0.28557,0.2345,0.08678,2.22143,3.27757,2.67222,0.009406,0.009406,0.009406
8,578.638,1.72981,2.13324,1.97169,0.33701,0.32016,0.25035,0.09004,2.25028,2.5247,2.74493,0.009307,0.009307,0.009307
9,650.05,1.70843,2.12351,1.96297,0.15449,0.24012,0.10073,0.03486,2.11426,3.73724,2.51101,0.009208,0.009208,0.009208
10,718.876,1.68628,2.06959,1.93694,0.41886,0.39032,0.34063,0.13201,2.01644,2.31659,2.40204,0.009109,0.009109,0.009109
11,789.359,1.66664,2.02558,1.91268,0.45825,0.43379,0.42619,0.19463,1.83286,2.00656,2.20372,0.00901,0.00901,0.00901
12,859.822,1.64737,2.00895,1.884,0.31864,0.27449,0.22466,0.08234,2.39081,2.56467,2.76121,0.008911,0.008911,0.008911
13,928.904,1.6234,1.95032,1.86391,0.35034,0.31621,0.26534,0.10505,2.10973,3.83396,2.45817,0.008812,0.008812,0.008812
14,999.416,1.61379,1.96762,1.86583,0.5623,0.41107,0.44271,0.19199,1.80751,2.14646,2.19839,0.008713,0.008713,0.008713
15,1065.57,1.60605,1.91434,1.84688,0.4954,0.41304,0.42009,0.17536,1.99994,2.15694,2.36857,0.008614,0.008614,0.008614
16,1135.03,1.60039,1.90038,1.84842,0.47581,0.40119,0.40125,0.17545,1.89623,2.02962,2.20533,0.008515,0.008515,0.008515
17,1205.88,1.56224,1.87802,1.81612,0.4982,0.47628,0.45456,0.19445,1.92191,1.89177,2.20718,0.008416,0.008416,0.008416
18,1272.33,1.56327,1.85394,1.81332,0.51219,0.51254,0.50153,0.21258,1.89842,1.86949,2.22149,0.008317,0.008317,0.008317
19,1342.41,1.55513,1.84125,1.80694,0.54832,0.46739,0.49911,0.23644,1.83347,1.85601,2.09915,0.008218,0.008218,0.008218
20,1413.21,1.5549,1.81653,1.80172,0.53871,0.51353,0.52231,0.25212,1.67464,1.79043,2.03454,0.008119,0.008119,0.008119
21,1482.88,1.52822,1.81101,1.78747,0.59538,0.5504,0.56946,0.2743,1.71914,1.8483,2.05381,0.00802,0.00802,0.00802
22,1551.85,1.51825,1.76911,1.76674,0.55913,0.5168,0.52372,0.26274,1.73901,1.77971,2.06136,0.007921,0.007921,0.007921
23,1623.38,1.51721,1.77717,1.76658,0.58491,0.46443,0.50397,0.22244,1.83298,2.01069,2.12807,0.007822,0.007822,0.007822
24,1696.78,1.52537,1.76095,1.7756,0.6309,0.50692,0.56601,0.27797,1.69777,1.65073,2.01756,0.007723,0.007723,0.007723
25,1769,1.49882,1.74211,1.74997,0.53133,0.47332,0.48939,0.24375,1.64479,1.784,1.95112,0.007624,0.007624,0.007624
26,1836.75,1.5004,1.7336,1.75252,0.68718,0.55351,0.62359,0.29604,1.72209,1.56585,2.03828,0.007525,0.007525,0.007525
27,1908.11,1.49764,1.71477,1.74914,0.56595,0.49347,0.5165,0.26091,1.66856,1.75028,1.99595,0.007426,0.007426,0.007426
28,1979.93,1.48015,1.68554,1.72176,0.57393,0.49407,0.52893,0.25421,1.74107,1.74755,2.01065,0.007327,0.007327,0.007327
29,2048.19,1.47326,1.70809,1.72932,0.66093,0.5374,0.62393,0.31937,1.62127,1.53855,1.90974,0.007228,0.007228,0.007228
30,2117.72,1.47594,1.69593,1.73589,0.66736,0.5919,0.64842,0.32844,1.60962,1.57465,1.94232,0.007129,0.007129,0.007129
31,2189.77,1.46757,1.66341,1.72716,0.50412,0.38636,0.40238,0.18284,2.03591,2.2712,2.36399,0.00703,0.00703,0.00703
32,2261.36,1.47576,1.67764,1.72441,0.59626,0.59783,0.61751,0.32482,1.5947,1.51623,1.9051,0.006931,0.006931,0.006931
33,2332.43,1.45128,1.64507,1.69935,0.7048,0.59289,0.66238,0.3286,1.65569,1.45936,1.95325,0.006832,0.006832,0.006832
34,2400.45,1.44737,1.63108,1.70241,0.68689,0.57905,0.66671,0.35565,1.59266,1.47622,1.89142,0.006733,0.006733,0.006733
35,2469.66,1.429,1.61531,1.68914,0.62611,0.53656,0.59569,0.31782,1.52035,1.60052,1.83401,0.006634,0.006634,0.006634
36,2540.76,1.42236,1.60034,1.67624,0.64554,0.61759,0.65226,0.35376,1.51706,1.45006,1.82932,0.006535,0.006535,0.006535
37,2607.79,1.41802,1.59367,1.67292,0.67029,0.58458,0.64551,0.35193,1.4979,1.49265,1.80888,0.006436,0.006436,0.006436
38,2679.51,1.41591,1.57807,1.67109,0.77137,0.59783,0.69097,0.39901,1.47148,1.37967,1.80198,0.006337,0.006337,0.006337
39,2751.31,1.42955,1.5853,1.68246,0.70974,0.60079,0.67935,0.36765,1.51846,1.45867,1.85635,0.006238,0.006238,0.006238
40,2822.35,1.4152,1.57195,1.67336,0.68795,0.60079,0.68352,0.38914,1.44212,1.46241,1.7816,0.006139,0.006139,0.006139
41,2893.18,1.41345,1.57805,1.67649,0.69877,0.66206,0.69823,0.37839,1.52161,1.38861,1.85286,0.00604,0.00604,0.00604
42,2960.15,1.39818,1.56011,1.66126,0.7116,0.61442,0.68701,0.36397,1.49365,1.4061,1.80013,0.005941,0.005941,0.005941
43,3027.83,1.39071,1.53564,1.64774,0.72978,0.66206,0.73044,0.42349,1.40319,1.2684,1.74351,0.005842,0.005842,0.005842
44,3099.49,1.38837,1.54472,1.64625,0.72027,0.64723,0.70635,0.3824,1.49799,1.3222,1.79686,0.005743,0.005743,0.005743
45,3167.64,1.37814,1.53994,1.6475,0.72782,0.59716,0.69804,0.37845,1.50088,1.37155,1.78847,0.005644,0.005644,0.005644
46,3239.26,1.38634,1.53516,1.65273,0.76845,0.64723,0.73345,0.41583,1.45488,1.308,1.79017,0.005545,0.005545,0.005545
47,3310.73,1.36707,1.51216,1.6344,0.73742,0.62352,0.71198,0.40286,1.47506,1.28467,1.7872,0.005446,0.005446,0.005446
48,3382,1.37134,1.5138,1.63721,0.72555,0.66353,0.73033,0.41249,1.42575,1.28627,1.74408,0.005347,0.005347,0.005347
49,3453.17,1.35909,1.48159,1.62454,0.76589,0.66897,0.7487,0.43206,1.38973,1.21048,1.7012,0.005248,0.005248,0.005248
50,3519.63,1.35953,1.48174,1.62368,0.7453,0.66505,0.73966,0.41469,1.45323,1.26073,1.76998,0.005149,0.005149,0.005149
51,3584.46,1.35701,1.48335,1.62126,0.7556,0.6721,0.75137,0.4381,1.35861,1.27334,1.68653,0.00505,0.00505,0.00505
52,3655.69,1.3454,1.48251,1.61429,0.76837,0.67292,0.75827,0.43241,1.40238,1.17675,1.70587,0.004951,0.004951,0.004951
53,3725.96,1.34845,1.45848,1.60846,0.70442,0.66206,0.73469,0.43429,1.39736,1.26222,1.70523,0.004852,0.004852,0.004852
54,3797.4,1.34234,1.47621,1.61087,0.79551,0.66886,0.76683,0.45787,1.3513,1.1786,1.67149,0.004753,0.004753,0.004753
55,3869.06,1.33089,1.44225,1.59931,0.79335,0.7056,0.79011,0.47252,1.33368,1.12896,1.66079,0.004654,0.004654,0.004654
56,3940.62,1.32254,1.44445,1.5914,0.79213,0.68478,0.77331,0.46613,1.37158,1.20666,1.70175,0.004555,0.004555,0.004555
57,4011,1.31821,1.41211,1.58141,0.82772,0.70257,0.81549,0.49498,1.33199,1.09651,1.66807,0.004456,0.004456,0.004456
58,4077.57,1.30837,1.42216,1.58205,0.77569,0.65951,0.76648,0.47094,1.29512,1.149,1.63154,0.004357,0.004357,0.004357
59,4141.91,1.32487,1.41947,1.59797,0.81539,0.66502,0.77672,0.48127,1.27667,1.19791,1.60619,0.004258,0.004258,0.004258
60,4213.74,1.30577,1.42272,1.5775,0.80105,0.72808,0.80935,0.49971,1.265,1.11051,1.60007,0.004159,0.004159,0.004159
61,4284.93,1.30186,1.39638,1.56749,0.7775,0.70785,0.787,0.48748,1.29135,1.08761,1.61109,0.00406,0.00406,0.00406
62,4356.51,1.29634,1.38836,1.56124,0.77308,0.72332,0.80035,0.48927,1.28674,1.0973,1.61118,0.003961,0.003961,0.003961
63,4427.78,1.29344,1.3934,1.56544,0.71452,0.62154,0.69745,0.40826,1.44751,1.36926,1.81414,0.003862,0.003862,0.003862
64,4498.34,1.27337,1.38434,1.55676,0.8063,0.74901,0.82537,0.5105,1.23722,1.0317,1.5735,0.003763,0.003763,0.003763
65,4569.13,1.2895,1.38209,1.55456,0.77437,0.6996,0.78076,0.47096,1.25771,1.14013,1.5897,0.003664,0.003664,0.003664
66,4635.44,1.27562,1.36495,1.54541,0.81195,0.7253,0.81774,0.50669,1.28742,1.04313,1.5889,0.003565,0.003565,0.003565
