epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.5707,2.01997,3.93049,2.25807,0.00597,0.04051,0.0031,0.00093,nan,nan,nan,0.0704762,0.00328042,0.00328042
2,164.29,2.08637,2.76236,2.35876,0.00325,0.12846,0.001,0.00027,nan,nan,nan,0.0404107,0.00654828,0.00654828
3,235.537,2.03584,2.67784,2.31235,0.00682,0.03458,0.00339,0.00079,3.4067,inf,7.39247,0.0102792,0.00975014,0.00975014
4,306.073,1.98713,2.65345,2.27975,0.00302,0.00296,0.00048,0.00012,3.82927,19.1941,16.7463,0.009703,0.009703,0.009703
5,377.16,1.93074,2.55273,2.22265,0.0889,0.13142,0.04571,0.0131,2.6304,4.52961,3.18621,0.009604,0.009604,0.009604
6,447.493,1.88145,2.46566,2.17551,0.16444,0.12154,0.07843,0.02381,2.73025,3.75951,3.25735,0.009505,0.009505,0.009505
7,513.796,1.82734,2.37987,2.11212,0.2556,0.23174,0.15978,0.05252,2.48879,2.82946,3.03447,0.009406,0.009406,0.009406
8,578.628,1.79456,2.35515,2.09565,0.26762,0.25198,0.19621,0.06036,2.25403,2.54605,2.66572,0.009307,0.009307,0.009307
9,648.654,1.77951,2.30996,2.07053,0.23024,0.27767,0.16194,0.05532,2.24606,2.72026,2.69789,0.009208,0.009208,0.009208
10,719.512,1.76061,2.27514,2.04924,0.27508,0.30632,0.21843,0.08385,2.11165,2.69988,2.43278,0.009109,0.009109,0.009109
11,789.934,1.74655,2.20534,2.02477,0.31994,0.3251,0.26068,0.09836,2.06401,2.65606,2.47024,0.00901,0.00901,0.00901
12,860.343,1.71791,2.19899,2.00571,0.29972,0.28458,0.20008,0.07131,2.17403,2.73755,2.74087,0.008911,0.008911,0.008911
13,931.053,1.70266,2.15429,1.98997,0.36134,0.31917,0.25642,0.09703,2.11969,2.9925,2.45708,0.008812,0.008812,0.008812
14,1000.97,1.69123,2.11524,1.96843,0.44106,0.34465,0.3384,0.13846,2.04066,2.26826,2.45888,0.008713,0.008713,0.008713
15,1067.21,1.66676,2.08033,1.95546,0.21386,0.18775,0.10651,0.0416,2.39386,3.14829,2.70627,0.008614,0.008614,0.008614
16,1133.55,1.64555,2.05279,1.93967,0.41569,0.3666,0.34087,0.13498,2.00726,2.175,2.33284,0.008515,0.008515,0.008515
17,1203.85,1.62975,2.01702,1.90943,0.42596,0.33893,0.29997,0.11792,2.1651,2.52966,2.61892,0.008416,0.008416,0.008416
18,1274.91,1.62965,2.01618,1.91796,0.42556,0.35474,0.34798,0.14569,1.90559,2.20935,2.26671,0.008317,0.008317,0.008317
19,1345.4,1.59809,1.97628,1.89241,0.41045,0.33696,0.31231,0.12633,2.2289,2.37234,2.64535,0.008218,0.008218,0.008218
20,1416,1.6024,1.97111,1.89203,0.51733,0.4664,0.47552,0.21895,1.77489,1.89636,2.07248,0.008119,0.008119,0.008119
21,1485.17,1.59313,1.95542,1.88288,0.54418,0.45182,0.46594,0.20589,1.96676,1.94328,2.29224,0.00802,0.00802,0.00802
22,1553.7,1.5726,1.89703,1.85246,0.23103,0.26383,0.15816,0.05979,1.94113,2.64105,2.25355,0.007921,0.007921,0.007921
23,1619.84,1.56605,1.90529,1.84781,0.46518,0.46146,0.41225,0.16799,1.93277,2.07014,2.25299,0.007822,0.007822,0.007822
24,1687.85,1.57063,1.87664,1.84635,0.4916,0.44664,0.45443,0.21528,1.78914,1.91189,2.15529,0.007723,0.007723,0.007723
25,1758.16,1.55309,1.87551,1.83781,0.46032,0.47431,0.44406,0.20642,1.91997,1.84198,2.24093,0.007624,0.007624,0.007624
26,1829.64,1.53579,1.83292,1.82485,0.52972,0.50296,0.49189,0.21345,1.84814,1.81816,2.11815,0.007525,0.007525,0.007525
27,1900.85,1.53748,1.83852,1.82926,0.49144,0.41155,0.40755,0.16541,2.07749,2.07442,2.43875,0.007426,0.007426,0.007426
28,1971.99,1.52022,1.80231,1.80722,0.52287,0.43964,0.43139,0.18781,1.97981,1.92887,2.2251,0.007327,0.007327,0.007327
29,2038.98,1.51028,1.78473,1.79387,0.5728,0.46344,0.50206,0.23595,1.78362,1.97812,2.14711,0.007228,0.007228,0.007228
30,2106.13,1.50552,1.77962,1.79185,0.53729,0.48536,0.48613,0.23308,1.76225,1.84439,2.07654,0.007129,0.007129,0.007129
