epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,51.1597,1.13691,0.464,1,1.72949,0.0704687,0.00328125,0.00328125
2,92.2248,1.25541,0.24,1,2.20312,0.0404033,0.0065491,0.0065491
3,132.842,1.43666,0.2,1,4.54395,0.0102718,0.00975095,0.00975095
4,173.343,1.47402,0.356,1,1.60229,0.009703,0.009703,0.009703
5,214.184,1.38066,0.385,1,1.46606,0.009604,0.009604,0.009604
6,254.962,1.34885,0.389,1,1.39062,0.009505,0.009505,0.009505
7,295.548,1.3614,0.412,1,1.32617,0.009406,0.009406,0.009406
8,335.762,1.34193,0.32,1,1.50977,0.009307,0.009307,0.009307
9,376.061,1.33507,0.323,1,2.31543,0.009208,0.009208,0.009208
10,416.015,1.3295,0.295,1,1.48877,0.009109,0.009109,0.009109
11,456.226,1.31119,0.441,1,1.28784,0.00901,0.00901,0.00901
12,496.51,1.31953,0.21,1,2.23633,0.008911,0.008911,0.008911
13,536.897,1.30126,0.391,1,1.57666,0.008812,0.008812,0.008812
14,577.237,1.29348,0.4,1,1.39648,0.008713,0.008713,0.008713
15,617.272,1.29336,0.371,1,1.42041,0.008614,0.008614,0.008614
16,657.602,1.31135,0.349,1,1.47681,0.008515,0.008515,0.008515
17,697.43,1.28865,0.368,1,1.68433,0.008416,0.008416,0.008416
18,738.578,1.30073,0.371,1,1.5835,0.008317,0.008317,0.008317
19,778.641,1.28283,0.391,1,1.67896,0.008218,0.008218,0.008218
20,818.747,1.26799,0.341,1,1.54053,0.008119,0.008119,0.008119
21,858.803,1.2805,0.399,1,1.39404,0.00802,0.00802,0.00802
22,899.033,1.27726,0.406,1,1.32544,0.007921,0.007921,0.007921
23,938.766,1.2928,0.401,1,1.38379,0.007822,0.007822,0.007822
24,978.597,1.2657,0.376,1,2.13794,0.007723,0.007723,0.007723
25,1018.48,1.2756,0.385,1,1.39429,0.007624,0.007624,0.007624
26,1058.86,1.26824,0.384,1,1.38574,0.007525,0.007525,0.007525
27,1099,1.26742,0.395,1,1.66772,0.007426,0.007426,0.007426
28,1138.45,1.24642,0.311,1,2.03809,0.007327,0.007327,0.007327
29,1178.33,1.26272,0.315,1,2.28174,0.007228,0.007228,0.007228
30,1218.36,1.25343,0.394,1,1.75439,0.007129,0.007129,0.007129
31,1258.52,1.26466,0.419,1,1.4939,0.00703,0.00703,0.00703
32,1298.98,1.26586,0.375,1,1.52441,0.006931,0.006931,0.006931
33,1339.47,1.24788,0.444,1,1.36572,0.006832,0.006832,0.006832
34,1380.16,1.26296,0.443,1,1.23828,0.006733,0.006733,0.006733
35,1420.56,1.24201,0.405,1,1.38184,0.006634,0.006634,0.006634
36,1460.61,1.23674,0.425,1,1.2522,0.006535,0.006535,0.006535
37,1500.83,1.22408,0.419,1,1.33813,0.006436,0.006436,0.006436
38,1540.83,1.24461,0.389,1,1.5061,0.006337,0.006337,0.006337
39,1581.13,1.22707,0.406,1,1.38525,0.006238,0.006238,0.006238
40,1620.91,1.23143,0.405,1,1.53979,0.006139,0.006139,0.006139
41,1661.1,1.22538,0.452,1,1.26611,0.00604,0.00604,0.00604
42,1701.41,1.20388,0.469,1,1.21704,0.005941,0.005941,0.005941
43,1741.62,1.2228,0.404,1,1.48657,0.005842,0.005842,0.005842
44,1781.9,1.21604,0.454,1,1.2146,0.005743,0.005743,0.005743
45,1822.13,1.21125,0.472,1,1.24194,0.005644,0.005644,0.005644
46,1862.28,1.19724,0.463,1,1.24072,0.005545,0.005545,0.005545
47,1903.68,1.21105,0.42,1,1.41357,0.005446,0.005446,0.005446
48,1944.89,1.21265,0.462,1,1.25659,0.005347,0.005347,0.005347
49,1985.14,1.19964,0.42,1,1.27759,0.005248,0.005248,0.005248
50,2025.64,1.19193,0.468,1,1.27197,0.005149,0.005149,0.005149
51,2066.22,1.19174,0.449,1,1.24072,0.00505,0.00505,0.00505
52,2107.18,1.19161,0.455,1,1.21899,0.004951,0.004951,0.004951
