epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.2034,1.92378,3.59819,2.11203,0,0,0,0,nan,nan,nan,0.0704762,0.00328042,0.00328042
2,164.273,2.03662,3.48001,2.26052,0,0,0,0,nan,nan,nan,0.0404107,0.00654828,0.00654828
3,246.631,1.98949,3.38823,2.23096,0.0001,0.003,3e-05,1e-05,nan,nan,nan,0.0102792,0.00975014,0.00975014
4,304.696,1.94765,3.34777,2.21683,0.00611,0.03,0.00147,0.00035,nan,nan,nan,0.009703,0.009703,0.009703
5,371.18,1.87451,3.24048,2.15366,0.03407,0.079,0.0167,0.00613,2.45846,7.10065,3.10113,0.009604,0.009604,0.009604
6,441.103,1.82423,3.17042,2.0933,0.02959,0.102,0.01508,0.00471,2.67329,7.89957,3.3072,0.009505,0.009505,0.009505
7,511.502,1.77259,3.09547,2.04871,0.05194,0.092,0.02389,0.00839,2.35962,4.34393,2.73413,0.009406,0.009406,0.009406
8,580.431,1.74068,3.03715,2.00909,0.10085,0.178,0.06435,0.0232,2.22039,3.09132,2.60893,0.009307,0.009307,0.009307
9,650.308,1.70237,2.96078,1.97304,0.13542,0.157,0.06777,0.02673,2.20441,3.15511,2.63318,0.009208,0.009208,0.009208
10,717.693,1.69232,2.9584,1.96191,0.11283,0.137,0.05333,0.02104,2.2139,3.20581,2.45039,0.009109,0.009109,0.009109
11,783.695,1.65748,2.90177,1.93643,0.14078,0.217,0.09393,0.04066,2.07283,3.0174,2.44689,0.00901,0.00901,0.00901
12,853.92,1.65498,2.88222,1.92482,0.13771,0.195,0.07966,0.03394,1.9682,2.91703,2.32004,0.008911,0.008911,0.008911
13,922.077,1.64289,2.87864,1.92102,0.16423,0.255,0.11274,0.04895,2.00295,2.8887,2.33233,0.008812,0.008812,0.008812
14,991.844,1.61715,2.84125,1.89619,0.11958,0.194,0.07211,0.03107,1.9599,2.97104,2.31131,0.008713,0.008713,0.008713
15,1061.76,1.60318,2.80775,1.87947,0.14016,0.278,0.10047,0.04873,1.8604,2.87657,2.18341,0.008614,0.008614,0.008614
16,1131.82,1.59189,2.75422,1.8574,0.15718,0.199,0.10125,0.04632,1.88188,2.94767,2.21414,0.008515,0.008515,0.008515
17,1202.27,1.58114,2.74342,1.85054,0.11805,0.11,0.04537,0.02146,1.98814,3.56758,2.26962,0.008416,0.008416,0.008416
18,1270.22,1.5793,2.73803,1.85661,0.15375,0.24697,0.106,0.05085,1.84428,2.75116,2.12629,0.008317,0.008317,0.008317
19,1335.31,1.56814,2.7178,1.83867,0.15393,0.33,0.12273,0.05988,1.79872,2.58437,2.09611,0.008218,0.008218,0.008218
20,1405.19,1.55478,2.70344,1.84307,0.17423,0.285,0.12665,0.06281,1.7887,2.6568,2.11295,0.008119,0.008119,0.008119
21,1473.45,1.54078,2.67525,1.8146,0.1733,0.286,0.12167,0.05333,1.90416,2.71587,2.19991,0.00802,0.00802,0.00802
22,1543.27,1.54686,2.66507,1.82027,0.18217,0.2274,0.13345,0.0641,1.81694,2.6434,2.12113,0.007921,0.007921,0.007921
23,1613.08,1.53185,2.64807,1.80618,0.17494,0.23619,0.12457,0.06562,1.76054,2.76961,2.06331,0.007822,0.007822,0.007822
24,1682.98,1.52978,2.62998,1.7998,0.19851,0.31345,0.15881,0.08308,1.59496,2.49518,1.93753,0.007723,0.007723,0.007723
25,1752.75,1.52036,2.5973,1.79505,0.1829,0.296,0.13491,0.07246,1.54467,2.57618,1.9065,0.007624,0.007624,0.007624
26,1820.56,1.50232,2.57148,1.7746,0.20502,0.348,0.18409,0.09529,1.6233,2.37214,1.94137,0.007525,0.007525,0.007525
27,1886.19,1.49722,2.548,1.77719,0.22179,0.29152,0.17254,0.09042,1.85222,2.69389,2.14674,0.007426,0.007426,0.007426
28,1956.8,1.49047,2.50991,1.76427,0.2572,0.334,0.20535,0.10698,1.57392,2.28821,1.89012,0.007327,0.007327,0.007327
29,2026.34,1.49349,2.49916,1.75912,0.21818,0.34149,0.15808,0.07836,1.74459,2.6828,2.05771,0.007228,0.007228,0.007228
30,2096.68,1.46815,2.48,1.75107,0.26538,0.456,0.25066,0.13408,1.52211,2.21819,1.86056,0.007129,0.007129,0.007129
31,2167.29,1.46326,2.47269,1.74038,0.21329,0.35337,0.18342,0.0965,1.76462,2.797,2.10905,0.00703,0.00703,0.00703
32,2237.12,1.47609,2.47619,1.75213,0.26829,0.336,0.22626,0.11489,1.56545,2.35179,1.89774,0.006931,0.006931,0.006931
33,2306.96,1.45631,2.41431,1.73088,0.30315,0.40936,0.27464,0.15141,1.47741,2.13194,1.80767,0.006832,0.006832,0.006832
34,2374.35,1.46042,2.40244,1.72689,0.29704,0.37889,0.29247,0.15842,1.55459,2.13088,1.86934,0.006733,0.006733,0.006733
35,2438.61,1.44471,2.39097,1.72115,0.22872,0.406,0.22351,0.12148,1.568,2.34952,1.88099,0.006634,0.006634,0.006634
36,2508.86,1.44342,2.37134,1.71426,0.30489,0.375,0.27338,0.14449,1.56165,2.16873,1.8833,0.006535,0.006535,0.006535
37,2578.2,1.44342,2.37934,1.70765,0.25486,0.37298,0.22522,0.11876,1.59524,2.39565,1.92819,0.006436,0.006436,0.006436
38,2648.64,1.4291,2.36202,1.70386,0.31163,0.453,0.32144,0.17981,1.4629,2.03954,1.78059,0.006337,0.006337,0.006337
39,2718.64,1.43022,2.35602,1.69905,0.30921,0.419,0.32145,0.17417,1.49904,2.0648,1.82294,0.006238,0.006238,0.006238
40,2788.38,1.41308,2.32102,1.69082,0.28955,0.46579,0.33206,0.1814,1.49705,2.07086,1.81697,0.006139,0.006139,0.006139
41,2856.61,1.41287,2.30929,1.6863,0.28783,0.419,0.28775,0.16058,1.54748,2.11105,1.85134,0.00604,0.00604,0.00604
42,2923.99,1.4034,2.27313,1.68188,0.35557,0.42656,0.33373,0.18414,1.55135,2.07608,1.87591,0.005941,0.005941,0.005941
43,2990.45,1.40175,2.28727,1.68626,0.31098,0.418,0.32328,0.18652,1.42839,1.98273,1.75379,0.005842,0.005842,0.005842
44,3060.72,1.40177,2.27416,1.67849,0.35753,0.47552,0.37469,0.21553,1.36779,1.88677,1.71131,0.005743,0.005743,0.005743
45,3129.46,1.40593,2.27686,1.67883,0.34356,0.478,0.3403,0.18651,1.43574,1.98621,1.7457,0.005644,0.005644,0.005644
46,3199.57,1.38849,2.25302,1.66984,0.31643,0.46741,0.35643,0.20645,1.40263,1.95786,1.75402,0.005545,0.005545,0.005545
47,3269.51,1.37819,2.23594,1.66219,0.30792,0.44426,0.31316,0.16986,1.49013,2.10606,1.81202,0.005446,0.005446,0.005446
48,3339.64,1.37671,2.22637,1.66212,0.33617,0.45243,0.35257,0.20016,1.38794,2.01544,1.75382,0.005347,0.005347,0.005347
49,3408.41,1.36968,2.20143,1.65266,0.38303,0.46294,0.39706,0.23171,1.38044,1.84163,1.69485,0.005248,0.005248,0.005248
50,3476.47,1.36119,2.19725,1.6456,0.29521,0.50456,0.36768,0.21054,1.39249,1.93011,1.71016,0.005149,0.005149,0.005149
51,3541.82,1.36712,2.18046,1.64889,0.37553,0.5,0.3917,0.22807,1.34554,1.84423,1.65687,0.00505,0.00505,0.00505
52,3611.96,1.35546,2.18107,1.63316,0.36507,0.506,0.367,0.20956,1.37111,1.88251,1.70465,0.004951,0.004951,0.004951
53,3680.83,1.34977,2.14366,1.63529,0.41911,0.51417,0.43726,0.25473,1.36637,1.75536,1.68166,0.004852,0.004852,0.004852
54,3751.11,1.35595,2.15358,1.63594,0.3841,0.46946,0.3919,0.23399,1.28482,1.81761,1.65172,0.004753,0.004753,0.004753
55,3820.2,1.34579,2.13129,1.62891,0.41537,0.53102,0.44848,0.26149,1.40173,1.72921,1.70603,0.004654,0.004654,0.004654
56,3889.76,1.33627,2.12888,1.61996,0.37819,0.497,0.41924,0.25363,1.297,1.83956,1.632,0.004555,0.004555,0.004555
57,3959.2,1.34359,2.10422,1.62305,0.43077,0.49977,0.43409,0.26463,1.31242,1.75083,1.63647,0.004456,0.004456,0.004456
58,4026.43,1.33815,2.09829,1.62112,0.43524,0.516,0.45509,0.27209,1.3122,1.68459,1.65742,0.004357,0.004357,0.004357
59,4092.2,1.34141,2.08283,1.62109,0.40893,0.51063,0.42848,0.25497,1.35874,1.76029,1.67588,0.004258,0.004258,0.004258
60,4162.42,1.32888,2.0823,1.61476,0.44902,0.51751,0.46494,0.28041,1.2958,1.66202,1.64411,0.004159,0.004159,0.004159
61,4233.16,1.31345,2.05559,1.6008,0.46658,0.524,0.46272,0.28247,1.30901,1.67478,1.63173,0.00406,0.00406,0.00406
62,4303.43,1.31067,2.04829,1.59873,0.41801,0.50634,0.44442,0.26579,1.29699,1.76413,1.63425,0.003961,0.003961,0.003961
63,4373.55,1.30348,2.05214,1.59434,0.41414,0.56656,0.50012,0.30939,1.26789,1.60929,1.61497,0.003862,0.003862,0.003862
64,4443.48,1.29297,2.02697,1.5881,0.44033,0.53991,0.45896,0.27599,1.29711,1.67635,1.62932,0.003763,0.003763,0.003763
65,4512.98,1.2897,2.00444,1.57486,0.45079,0.53251,0.48594,0.29872,1.24382,1.5789,1.59034,0.003664,0.003664,0.003664
66,4581.03,1.2922,2.01562,1.58134,0.49034,0.56123,0.49888,0.31205,1.27291,1.60019,1.60211,0.003565,0.003565,0.003565
67,4645.58,1.28346,2.01042,1.56937,0.43734,0.55506,0.49842,0.31051,1.21065,1.6252,1.55696,0.003466,0.003466,0.003466
68,4715.76,1.29622,2.00583,1.58334,0.52326,0.548,0.53478,0.33411,1.20775,1.48831,1.55838,0.003367,0.003367,0.003367
69,4785.85,1.27484,1.9793,1.56222,0.4422,0.61098,0.52213,0.32759,1.19869,1.54063,1.54849,0.003268,0.003268,0.003268
70,4856.36,1.25903,1.94903,1.55904,0.50147,0.56003,0.5378,0.33693,1.20428,1.51756,1.54194,0.003169,0.003169,0.003169
71,4925.86,1.26486,1.96589,1.56309,0.48134,0.55787,0.50741,0.31259,1.21229,1.54076,1.57529,0.00307,0.00307,0.00307
72,4995.84,1.26075,1.95957,1.55252,0.50302,0.56883,0.53893,0.33577,1.20262,1.50963,1.54776,0.002971,0.002971,0.002971
73,5065.04,1.25274,1.94224,1.5479,0.49339,0.58261,0.54847,0.35456,1.15193,1.46723,1.51807,0.002872,0.002872,0.002872
74,5132.79,1.23073,1.8982,1.52708,0.53016,0.584,0.57126,0.37625,1.15839,1.42153,1.50559,0.002773,0.002773,0.002773
75,5198.1,1.23081,1.91349,1.53592,0.49863,0.599,0.56068,0.37099,1.13517,1.42633,1.49722,0.002674,0.002674,0.002674
76,5267.89,1.23556,1.88819,1.53691,0.52417,0.57965,0.5612,0.35272,1.19272,1.45417,1.53267,0.002575,0.002575,0.002575
77,5337.7,1.23329,1.88918,1.536,0.53391,0.574,0.55507,0.36071,1.1346,1.42602,1.49137,0.002476,0.002476,0.002476
78,5407.76,1.22496,1.87823,1.52738,0.51311,0.56856,0.53744,0.33772,1.15612,1.47855,1.50977,0.002377,0.002377,0.002377
79,5477.55,1.21979,1.87372,1.51846,0.51863,0.6184,0.58295,0.37938,1.12864,1.3699,1.48349,0.002278,0.002278,0.002278
