epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.4836,1.79378,2.51726,1.98147,0.00439,0.429,0.00271,0.00071,3.4786,inf,24.5631,0.0704762,0.00328042,0.00328042
2,172.928,1.91785,2.50695,2.11925,0.0231,0.014,0.00264,0.00058,3.3099,inf,5.99204,0.0404107,0.00654828,0.00654828
3,245.185,1.93582,2.53265,2.15173,0.00265,0.087,0.00171,0.00051,3.28821,inf,6.2265,0.0102792,0.00975014,0.00975014
4,319.032,1.8989,2.48753,2.11876,0.00056,0.006,0.00016,4e-05,3.15064,inf,4.3092,0.009703,0.009703,0.009703
5,388.041,1.81792,2.35335,2.04809,0.14907,0.115,0.06279,0.02029,2.67843,4.10539,3.3045,0.009604,0.009604,0.009604
6,459.439,1.75587,2.26378,1.99951,0.09747,0.094,0.03431,0.0103,2.54157,3.769,2.99521,0.009505,0.009505,0.009505
7,529.177,1.71497,2.18963,1.95295,0.3484,0.274,0.23325,0.08468,2.46906,2.57342,3.0584,0.009406,0.009406,0.009406
8,593.193,1.68051,2.14087,1.9334,0.332,0.346,0.27553,0.10517,2.0734,2.5252,2.4487,0.009307,0.009307,0.009307
9,665.388,1.63857,2.0961,1.89487,0.34343,0.219,0.18728,0.0707,2.23161,4.00463,2.60755,0.009208,0.009208,0.009208
10,736.372,1.62695,2.05308,1.88175,0.42561,0.379,0.34837,0.14149,2.11127,2.1835,2.38245,0.009109,0.009109,0.009109
11,807.781,1.59954,1.99893,1.8552,0.4671,0.461,0.43342,0.20713,1.79302,2.18879,2.11857,0.00901,0.00901,0.00901
12,879.29,1.59179,1.98595,1.84384,0.46149,0.435,0.40911,0.17707,1.91407,2.13432,2.21544,0.008911,0.008911,0.008911
13,949.338,1.58654,1.9596,1.836,0.20744,0.29497,0.13122,0.05158,1.96917,3.38389,2.28471,0.008812,0.008812,0.008812
14,1021.23,1.55965,1.89525,1.81127,0.53268,0.441,0.45107,0.20357,1.76311,2.10365,2.07815,0.008713,0.008713,0.008713
15,1089.98,1.53653,1.86988,1.7907,0.45863,0.406,0.40291,0.18838,1.83754,2.12762,2.15523,0.008614,0.008614,0.008614
16,1155.8,1.54059,1.87442,1.79326,0.44085,0.441,0.35882,0.16352,1.85859,2.15716,2.21919,0.008515,0.008515,0.008515
17,1226.17,1.51562,1.84231,1.77162,0.57232,0.473,0.50298,0.22573,1.90169,1.88096,2.19733,0.008416,0.008416,0.008416
18,1297.37,1.51933,1.83895,1.77937,0.59151,0.532,0.56609,0.25647,1.83303,1.76465,2.11835,0.008317,0.008317,0.008317
19,1368.54,1.50539,1.8128,1.75893,0.59676,0.54756,0.58543,0.29323,1.73102,1.75842,2.01908,0.008218,0.008218,0.008218
20,1439.53,1.49917,1.78869,1.75825,0.6499,0.475,0.56347,0.29208,1.58308,1.76417,1.92887,0.008119,0.008119,0.008119
21,1510.13,1.49795,1.79859,1.75274,0.61925,0.516,0.55902,0.26054,1.69394,1.75998,2.00993,0.00802,0.00802,0.00802
22,1580.63,1.50173,1.78751,1.75512,0.62761,0.483,0.55249,0.27725,1.76259,1.78036,2.03769,0.007921,0.007921,0.007921
23,1648.41,1.46593,1.7453,1.71849,0.57659,0.51,0.53426,0.25882,1.65242,1.72658,1.95912,0.007822,0.007822,0.007822
24,1713.43,1.46693,1.74034,1.72427,0.5726,0.45417,0.4771,0.22269,1.76941,2.05028,2.14298,0.007723,0.007723,0.007723
25,1784.49,1.46094,1.73531,1.72611,0.53493,0.533,0.52826,0.25612,1.78439,1.76282,2.13765,0.007624,0.007624,0.007624
26,1855.94,1.44603,1.69275,1.70446,0.5813,0.542,0.57944,0.28109,1.71591,1.65526,1.95003,0.007525,0.007525,0.007525
27,1927.31,1.43832,1.68156,1.70601,0.61471,0.54884,0.59374,0.30361,1.61619,1.57548,1.92208,0.007426,0.007426,0.007426
28,1997.9,1.44187,1.68307,1.71515,0.70931,0.538,0.64134,0.33872,1.57444,1.52429,1.87824,0.007327,0.007327,0.007327
29,2067.21,1.42258,1.64916,1.68892,0.58871,0.569,0.59292,0.31058,1.62685,1.61151,1.90884,0.007228,0.007228,0.007228
30,2138.01,1.41008,1.64026,1.68553,0.6683,0.547,0.61791,0.31675,1.55941,1.55759,1.88217,0.007129,0.007129,0.007129
31,2207.07,1.4185,1.65063,1.68168,0.6142,0.531,0.57908,0.30013,1.60523,1.57696,1.8955,0.00703,0.00703,0.00703
32,2272.6,1.41654,1.63104,1.6839,0.58504,0.525,0.55936,0.2726,1.6482,1.75337,1.95248,0.006931,0.006931,0.006931
33,2343.66,1.39615,1.60916,1.66322,0.69095,0.622,0.67572,0.36151,1.54562,1.45945,1.85575,0.006832,0.006832,0.006832
34,2414.37,1.40416,1.59585,1.66201,0.71412,0.514,0.60349,0.31585,1.70651,1.65337,2.00097,0.006733,0.006733,0.006733
35,2485.96,1.39555,1.59377,1.66679,0.60526,0.55658,0.57649,0.30329,1.52338,1.58333,1.8416,0.006634,0.006634,0.006634
36,2557.64,1.37008,1.55355,1.63921,0.75179,0.623,0.72163,0.40469,1.49022,1.36723,1.8006,0.006535,0.006535,0.006535
37,2628.2,1.37466,1.56614,1.64386,0.66434,0.598,0.65559,0.35147,1.51526,1.45372,1.82468,0.006436,0.006436,0.006436
38,2699.29,1.38498,1.55901,1.64791,0.69883,0.62652,0.69144,0.38114,1.53295,1.3993,1.83511,0.006337,0.006337,0.006337
39,2768.2,1.38004,1.5581,1.64569,0.67416,0.599,0.65953,0.36401,1.52205,1.43894,1.83258,0.006238,0.006238,0.006238
40,2831.85,1.37222,1.53404,1.64349,0.62739,0.57,0.62555,0.3268,1.59383,1.52179,1.87955,0.006139,0.006139,0.006139
41,2902.57,1.361,1.53706,1.63544,0.69979,0.611,0.67196,0.3719,1.59801,1.43173,1.89002,0.00604,0.00604,0.00604
42,2974.05,1.35079,1.5123,1.62598,0.75381,0.58482,0.67139,0.37286,1.49691,1.50014,1.78768,0.005941,0.005941,0.005941
43,3045.06,1.35765,1.52946,1.63699,0.71333,0.59223,0.68314,0.3979,1.475,1.46736,1.79746,0.005842,0.005842,0.005842
44,3116.3,1.35316,1.53416,1.63123,0.73461,0.658,0.73039,0.41203,1.46392,1.22659,1.75663,0.005743,0.005743,0.005743
45,3187.27,1.35082,1.51494,1.62121,0.74587,0.663,0.74415,0.40619,1.50188,1.29304,1.79042,0.005644,0.005644,0.005644
46,3259.71,1.32629,1.50193,1.60769,0.71152,0.687,0.75184,0.42974,1.41726,1.23208,1.7186,0.005545,0.005545,0.005545
47,3329.49,1.32769,1.48281,1.60263,0.77414,0.624,0.72016,0.42247,1.38806,1.32418,1.71208,0.005446,0.005446,0.005446
48,3394.95,1.32346,1.47532,1.60172,0.77486,0.695,0.77843,0.44797,1.42031,1.20971,1.73177,0.005347,0.005347,0.005347
49,3467.38,1.32085,1.46138,1.60163,0.72951,0.639,0.70429,0.40107,1.47549,1.38197,1.78534,0.005248,0.005248,0.005248
50,3540.08,1.31544,1.47125,1.59132,0.77607,0.656,0.74006,0.42802,1.42927,1.27192,1.72942,0.005149,0.005149,0.005149
51,3611.9,1.30313,1.44825,1.58474,0.8146,0.67664,0.78044,0.46021,1.3488,1.18901,1.66157,0.00505,0.00505,0.00505
52,3683.5,1.30058,1.44273,1.57722,0.77725,0.67344,0.76508,0.44542,1.44134,1.25106,1.76617,0.004951,0.004951,0.004951
53,3755.25,1.2993,1.43725,1.57896,0.79397,0.659,0.76722,0.4623,1.30519,1.18956,1.63948,0.004852,0.004852,0.004852
54,3828.21,1.31622,1.43638,1.58467,0.76228,0.653,0.74171,0.42042,1.39861,1.25463,1.70253,0.004753,0.004753,0.004753
55,3897.85,1.29105,1.42355,1.57932,0.77047,0.69148,0.78248,0.48184,1.33659,1.16367,1.66521,0.004654,0.004654,0.004654
56,3963.06,1.29202,1.42669,1.57858,0.78293,0.672,0.76359,0.44699,1.41172,1.19633,1.73324,0.004555,0.004555,0.004555
57,4035.3,1.29764,1.40011,1.57298,0.77969,0.695,0.79002,0.49213,1.29906,1.11191,1.63334,0.004456,0.004456,0.004456
58,4106.57,1.27458,1.39791,1.55783,0.80476,0.731,0.81208,0.50134,1.27049,1.06372,1.6026,0.004357,0.004357,0.004357
59,4179.32,1.2614,1.37441,1.54567,0.84524,0.73187,0.82724,0.5132,1.23447,1.02232,1.56934,0.004258,0.004258,0.004258
60,4251.34,1.26407,1.39102,1.55083,0.82495,0.69749,0.8022,0.49226,1.29871,1.10062,1.61421,0.004159,0.004159,0.004159
61,4322.83,1.25114,1.37028,1.54575,0.84345,0.722,0.82831,0.51979,1.25937,1.05099,1.5929,0.00406,0.00406,0.00406
62,4393.65,1.25162,1.35616,1.53143,0.83964,0.73,0.83235,0.5183,1.23413,1.02752,1.5713,0.003961,0.003961,0.003961
63,4462.4,1.24659,1.37358,1.54294,0.79986,0.71,0.80959,0.52085,1.23127,1.06959,1.57365,0.003862,0.003862,0.003862
64,4527.2,1.23553,1.34769,1.53572,0.81281,0.72516,0.81417,0.50906,1.2728,1.06584,1.59075,0.003763,0.003763,0.003763
65,4599.3,1.22925,1.32315,1.5194,0.82298,0.75782,0.83971,0.53776,1.19687,1.00553,1.53387,0.003664,0.003664,0.003664
66,4670.89,1.23947,1.35099,1.52922,0.85281,0.72427,0.82048,0.50948,1.28954,1.02147,1.60747,0.003565,0.003565,0.003565
67,4742.67,1.23218,1.31825,1.52515,0.84785,0.74114,0.83788,0.5441,1.18553,0.98353,1.52763,0.003466,0.003466,0.003466
68,4814.57,1.23243,1.3227,1.52193,0.83976,0.741,0.83056,0.52459,1.25105,1.0191,1.57385,0.003367,0.003367,0.003367
69,4885.87,1.21798,1.30919,1.51619,0.85471,0.745,0.84818,0.55597,1.18491,0.96192,1.50872,0.003268,0.003268,0.003268
70,4957.9,1.19155,1.2726,1.5006,0.82911,0.73744,0.83359,0.55023,1.19492,0.99386,1.53712,0.003169,0.003169,0.003169
71,5027.2,1.20602,1.28898,1.50398,0.86696,0.74286,0.84729,0.55114,1.17752,0.94674,1.52105,0.00307,0.00307,0.00307
72,5091.5,1.21261,1.29298,1.51106,0.83763,0.73772,0.84615,0.55163,1.18333,0.95063,1.5307,0.002971,0.002971,0.002971
73,5163.54,1.18983,1.26359,1.49325,0.80682,0.756,0.83216,0.54147,1.19301,0.98703,1.4953,0.002872,0.002872,0.002872
74,5234.93,1.1867,1.25143,1.48605,0.86995,0.747,0.84833,0.54917,1.19913,0.93392,1.53043,0.002773,0.002773,0.002773
75,5306.11,1.17031,1.24574,1.4754,0.86076,0.76035,0.86271,0.57493,1.16,0.91934,1.49322,0.002674,0.002674,0.002674
76,5377.21,1.174,1.24668,1.48364,0.84036,0.744,0.85321,0.55485,1.17767,0.95021,1.52358,0.002575,0.002575,0.002575
77,5449.21,1.18747,1.24942,1.49163,0.82889,0.7993,0.87099,0.57575,1.13858,0.89364,1.47645,0.002476,0.002476,0.002476
78,5522.07,1.17512,1.23821,1.48188,0.82639,0.767,0.84925,0.57033,1.13712,0.939,1.48519,0.002377,0.002377,0.002377
79,5591.38,1.1592,1.22878,1.46341,0.89465,0.787,0.88509,0.58988,1.1412,0.85271,1.4786,0.002278,0.002278,0.002278
80,5655.92,1.17344,1.21606,1.47295,0.84658,0.782,0.85736,0.56972,1.14608,0.88595,1.47996,0.002179,0.002179,0.002179
81,5726.8,1.16495,1.2198,1.46739,0.86429,0.794,0.87755,0.59132,1.12107,0.85177,1.4466,0.00208,0.00208,0.00208
82,5798.91,1.15282,1.20136,1.462,0.86646,0.758,0.8688,0.59188,1.1142,0.86491,1.4487,0.001981,0.001981,0.001981
83,5870.33,1.13273,1.19346,1.45001,0.89339,0.78774,0.88474,0.59904,1.09035,0.82587,1.43788,0.001882,0.001882,0.001882
84,5942.05,1.13423,1.18385,1.44857,0.85303,0.78937,0.87218,0.58242,1.11148,0.86848,1.45471,0.001783,0.001783,0.001783
85,6013.87,1.12576,1.17838,1.44318,0.8534,0.80334,0.87998,0.601,1.09643,0.83167,1.4338,0.001684,0.001684,0.001684
86,6085.35,1.1238,1.15277,1.43453,0.90806,0.79,0.89479,0.60127,1.10111,0.81667,1.44511,0.001585,0.001585,0.001585
87,6154.5,1.11417,1.15801,1.42812,0.8814,0.80263,0.89399,0.60721,1.089,0.82088,1.42712,0.001486,0.001486,0.001486
88,6219.66,1.1191,1.15839,1.43611,0.88086,0.79849,0.87959,0.60042,1.107,0.82179,1.43892,0.001387,0.001387,0.001387
89,6291.64,1.09118,1.13269,1.41476,0.88359,0.79699,0.89331,0.61897,1.05409,0.79498,1.40738,0.001288,0.001288,0.001288
90,6363.44,1.08454,1.1197,1.41306,0.89146,0.82134,0.90002,0.62071,1.04087,0.78268,1.3955,0.001189,0.001189,0.001189
91,6434.95,1.01169,0.83192,1.412,0.86243,0.78989,0.86664,0.58482,1.10233,0.87333,1.45185,0.00109,0.00109,0.00109
92,6499.47,0.9881,0.76383,1.3828,0.89076,0.819,0.90496,0.6262,1.04586,0.77147,1.39895,0.000991,0.000991,0.000991
93,6564.63,0.96099,0.73898,1.36341,0.90027,0.836,0.91725,0.63988,1.02227,0.74416,1.37942,0.000892,0.000892,0.000892
94,6629.22,0.94793,0.72163,1.35063,0.90418,0.84,0.92079,0.64268,1.01324,0.72013,1.3733,0.000793,0.000793,0.000793
95,6692.8,0.94979,0.71397,1.35399,0.88226,0.84674,0.91957,0.64189,1.00943,0.72115,1.37071,0.000694,0.000694,0.000694
96,6757.35,0.92703,0.69987,1.33161,0.90559,0.832,0.9119,0.64583,1.00182,0.7204,1.36886,0.000595,0.000595,0.000595
97,6818.44,0.90901,0.68517,1.31749,0.89085,0.83247,0.90977,0.64421,1.01056,0.7204,1.3694,0.000496,0.000496,0.000496
98,6876.4,0.90853,0.68329,1.32083,0.90599,0.815,0.91448,0.6455,0.99284,0.71134,1.35539,0.000397,0.000397,0.000397
99,6938.81,0.89243,0.66441,1.30685,0.91516,0.827,0.91634,0.64882,0.99254,0.70566,1.35621,0.000298,0.000298,0.000298
100,7002.84,0.88437,0.65462,1.30136,0.90261,0.841,0.91784,0.65548,0.986,0.69531,1.34933,0.000199,0.000199,0.000199
