epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0712,1.91188,3.22324,2.12288,0.00017,0.04941,9e-05,2e-05,3.61974,inf,117.242,0.0704762,0.00328042,0.00328042
2,166.254,2.00573,2.66364,2.23085,0.00013,0.03755,7e-05,2e-05,3.91394,inf,23.9126,0.0404107,0.00654828,0.00654828
3,234.596,1.96677,2.65467,2.22228,0.00617,0.25198,0.00367,0.00098,3.15119,inf,10.6992,0.0102792,0.00975014,0.00975014
4,96.0257,1.97834,2.84523,2.25414,0.00493,0.09387,0.00307,0.00133,3.14017,inf,5.22712,0.009703,0.009703,0.009703
5,165.159,1.85955,2.50444,2.137,0.08676,0.16008,0.05014,0.01528,2.58607,3.80184,3.14068,0.009604,0.009604,0.009604
6,234.987,1.79922,2.40573,2.07614,0.25887,0.27668,0.19925,0.06799,2.15502,3.13347,2.51378,0.009505,0.009505,0.009505
7,304.906,1.77498,2.33532,2.05291,0.16563,0.16601,0.08231,0.03036,2.26267,4.46358,2.6349,0.009406,0.009406,0.009406
8,374.441,1.74178,2.31662,2.02611,0.31723,0.33597,0.27109,0.10222,2.12461,2.44801,2.55359,0.009307,0.009307,0.009307
9,444.956,1.71813,2.25638,1.9948,0.28843,0.2239,0.19203,0.06898,2.19414,2.67759,2.61001,0.009208,0.009208,0.009208
10,510.923,1.68449,2.18153,1.96348,0.41128,0.35573,0.33662,0.14064,1.93073,2.20073,2.26421,0.009109,0.009109,0.009109
11,578.651,1.67024,2.15269,1.94882,0.38555,0.3498,0.29387,0.11542,2.05143,2.30971,2.42362,0.00901,0.00901,0.00901
12,646.01,1.65004,2.1132,1.92453,0.35112,0.36166,0.28425,0.0989,2.13596,2.46628,2.43842,0.008911,0.008911,0.008911
13,715.597,1.63279,2.08442,1.92036,0.4202,0.34585,0.32241,0.1206,2.28497,2.32947,2.66566,0.008812,0.008812,0.008812
14,786.201,1.61762,2.04082,1.9023,0.47766,0.40483,0.40846,0.17532,1.85591,2.12794,2.25346,0.008713,0.008713,0.008713
15,856.784,1.60754,2.04293,1.88779,0.30871,0.32411,0.2383,0.08895,2.32049,2.4676,2.65448,0.008614,0.008614,0.008614
16,927.198,1.59212,1.99944,1.87402,0.4338,0.37747,0.34201,0.14241,2.14536,2.16581,2.41695,0.008515,0.008515,0.008515
17,997.819,1.5837,1.98053,1.87366,0.36992,0.35573,0.26921,0.11283,2.04354,2.29921,2.38691,0.008416,0.008416,0.008416
18,1067.55,1.58319,1.95446,1.86979,0.45175,0.4585,0.45235,0.1993,1.75076,1.9038,2.06888,0.008317,0.008317,0.008317
19,1138.37,1.56087,1.93606,1.85752,0.44037,0.36067,0.35169,0.15577,1.95106,2.27403,2.31452,0.008218,0.008218,0.008218
20,1204.81,1.53845,1.88798,1.82149,0.54967,0.48617,0.50269,0.21568,1.94466,1.88866,2.21002,0.008119,0.008119,0.008119
21,1268.83,1.52337,1.87142,1.81037,0.38394,0.38636,0.33299,0.1456,2.1872,2.22629,2.56331,0.00802,0.00802,0.00802
22,1339.21,1.52957,1.86067,1.81414,0.41334,0.44664,0.36579,0.16536,1.76967,1.97398,2.11858,0.007921,0.007921,0.007921
23,1409.51,1.52474,1.85399,1.80907,0.50562,0.43556,0.44604,0.19935,1.7183,2.44807,2.10242,0.007822,0.007822,0.007822
24,1479.81,1.52072,1.85829,1.80945,0.56141,0.45356,0.47064,0.21052,1.88686,1.95716,2.24013,0.007723,0.007723,0.007723
25,1549.42,1.4962,1.80572,1.79337,0.47007,0.41008,0.38851,0.1619,1.98631,2.14555,2.31941,0.007624,0.007624,0.007624
26,1619.4,1.47198,1.78903,1.77041,0.61856,0.55282,0.58588,0.27587,1.69486,1.59252,2.00006,0.007525,0.007525,0.007525
27,1688.35,1.47384,1.77024,1.77163,0.5974,0.53854,0.55917,0.27918,1.76638,1.82148,2.08161,0.007426,0.007426,0.007426
28,1753.61,1.46916,1.76466,1.75844,0.62168,0.53586,0.57365,0.27043,1.68596,1.6606,1.99727,0.007327,0.007327,0.007327
29,1817.58,1.46629,1.71282,1.75671,0.46135,0.38538,0.36774,0.14123,2.14715,2.25267,2.67022,0.007228,0.007228,0.007228
30,1888.17,1.4534,1.71709,1.74683,0.57889,0.52767,0.55882,0.27024,1.70643,1.80497,2.10157,0.007129,0.007129,0.007129
31,1958.22,1.44717,1.69862,1.74433,0.53558,0.43676,0.46409,0.19968,1.86194,1.84114,2.1216,0.00703,0.00703,0.00703
32,2028.38,1.42765,1.67551,1.72211,0.69526,0.54348,0.63486,0.32792,1.62683,1.57773,1.9572,0.006931,0.006931,0.006931
33,2098.12,1.43574,1.67295,1.73124,0.64584,0.50791,0.56717,0.2748,1.73923,1.70608,2.07211,0.006832,0.006832,0.006832
34,2167.46,1.43591,1.66657,1.73402,0.59937,0.52273,0.54749,0.24185,1.87409,1.77699,2.21564,0.006733,0.006733,0.006733
35,2236.47,1.42086,1.64131,1.70361,0.56361,0.48221,0.51564,0.2387,1.74603,1.84865,2.0924,0.006634,0.006634,0.006634
36,2301.9,1.40414,1.62144,1.69583,0.64128,0.52569,0.58163,0.29861,1.65557,1.75118,2.02474,0.006535,0.006535,0.006535
37,2366.18,1.40005,1.61197,1.70069,0.65808,0.57708,0.62738,0.31831,1.64598,1.56527,1.95594,0.006436,0.006436,0.006436
38,2436.59,1.40101,1.61134,1.7003,0.6235,0.51547,0.57134,0.27531,1.76642,1.60041,1.99317,0.006337,0.006337,0.006337
39,2507.09,1.39213,1.60112,1.68765,0.63053,0.53656,0.5869,0.29944,1.6379,1.73776,2.00525,0.006238,0.006238,0.006238
40,2576.82,1.38425,1.57403,1.68382,0.66777,0.63556,0.66564,0.33076,1.65922,1.42483,2.00716,0.006139,0.006139,0.006139
41,2646.63,1.38191,1.57532,1.68031,0.69459,0.56857,0.63886,0.31207,1.6146,1.86574,1.9491,0.00604,0.00604,0.00604
42,2715.81,1.38633,1.57518,1.68875,0.62359,0.64526,0.66003,0.3199,1.5552,1.44759,1.89037,0.005941,0.005941,0.005941
43,2785.5,1.3703,1.56815,1.67768,0.60954,0.51058,0.56383,0.27375,1.67332,1.70846,2.05831,0.005842,0.005842,0.005842
44,2850.6,1.36463,1.5644,1.67073,0.70552,0.67589,0.71868,0.384,1.56673,1.31042,1.87454,0.005743,0.005743,0.005743
45,2914.45,1.35993,1.54829,1.67253,0.52616,0.4002,0.40982,0.18248,2.08912,2.35877,2.68541,0.005644,0.005644,0.005644
